,Latitude,Longitude
0,55.95,-3.3725
1,39.350073,-82.04986510000001
2,37.8494872,-91.5548738
3,40.44028,-81.69972
4,39.5328802,-76.93192430000001
5,44.7919049,-95.09722499999999
6,35.9620357,-83.4440556
7,42.9388428,-109.4804179
8,38.4622865,-85.5427382
9,38.4622865,-85.5427382
10,38.4622865,-85.5427382
11,39.6056073,-84.75884379999999
12,49.012779,2.55
13,38.23901,-85.78388
14,39.1425692,-82.7985049
15,31.183903,29.948889
16,42.9875714,-74.7976486
17,30.2210464,-95.5616089
18,30.2210464,-95.5616089
19,30.2210464,-95.5616089
20,30.2210464,-95.5616089
21,36.148411,-84.5052153
22,34.895926,-83.46654959999999
23,30.7424177,-94.8918781
24,39.2867738,-76.6010777
25,31.75,35
26,41.6259289,-73.3003949
27,21.42667,39.82611
28,44.713384,-72.0531537
29,9.550599999999999,122.5164
30,33.5102,36.29128
31,45.2535999,-86.9795592
32,38.9117782,-77.0499772
33,31.86667,35.21667
34,31.86667,35.21667
35,41.6259289,-73.3003949
36,26.9236694,-80.09504219999999
37,42.0712019,-74.2812579
38,38.1040882,-120.7974351
39,40.65,36.05
40,42.6667513,-72.4870324
41,9.550599999999999,122.5164
42,37.97945,23.71622
43,37.97945,23.71622
44,37.97945,23.71622
45,37.9203678359435,23.9035034179688
46,42.0453699,-73.33817190000001
47,38.0929107,-77.2569233
48,35.9620357,-83.4440556
49,38.9117782,-77.0499772
50,38.9117782,-77.0499772
51,38.9117782,-77.0499772
52,-13,166
53,56.5,-6
54,42.6134015,-77.3122034
55,42.2320141,-77.811663
56,9.466670000000001,-75.15000000000001
57,38.8873341,-77.05553279999999
58,33.8594604,-117.5758828
59,35.669,-83.477
60,37.7486497,-92.9754634
61,52.559686,13.287711
62,46.98268,7.34368
63,37.5949316,-120.9577098
64,26.53619,61.0403
65,42.7825237,-86.099763
66,45.6592839,-122.3723147
67,51.55,0.21667
68,51.55,0.21667
69,32.4333333,57.3666667
70,36.3425961,-83.002107
71,36.3425961,-83.002107
72,36.3425961,-83.002107
73,36.3425961,-83.002107
74,36.3425961,-83.002107
75,36.3425961,-83.002107
76,36.3425961,-83.002107
77,36.7225833,-84.15660010000001
78,33.88623,-83.37683
79,36.0300646,-85.3466385
80,36.0300646,-85.3466385
81,21.42667,39.82611
82,21.42667,39.82611
83,47.898,2.164
84,48.8534,2.3486
85,39.5389816,-78.5133458
86,36.9766667,6.5077778
87,47.1179786670313,2.20799446105957
88,54,-4
89,54.8951,-2.9382
90,53.20833,-6.13444
91,39.6150884,-78.761685
92,38.7937266,-77.8577722
93,38.7937266,-77.8577722
94,54,-4
95,36.1666492,-112.0846136
96,40.3039956,-75.0668368
97,51.27904,1.07992
98,52.36972,-1.47972
99,51.33333,-0.08333
100,43.4967394,-72.1486992
101,42.4514848,-71.0864414
102,51.2618,-0.4304
103,38.7823358,-77.1274796
104,38.6223406,-76.95525120000001
105,51.41667,-0.13333
106,51.26667,-1.33333
107,51.33333,-0.08333
108,49.012779,2.55
109,38.8873341,-77.05553279999999
110,38.8873341,-77.05553279999999
111,36.70848,-76.60800999999999
112,49.10635,-122.82509
113,40.21122,-75.2749
114,51.33333,0.08333
115,42.4048186,-71.1272754
116,50.71667,-2.43333
117,13.1563889,-61.2233333
118,42.4514848,-71.0864414
119,38.7823358,-77.1274796
120,51.49457,-0.1231
121,51.26667,-1.33333
122,51.5,-0.45
123,51.5,-0.45
124,21.42667,39.82611
125,41.1000547,-81.8831933
126,43.2256251,-75.48878740000001
127,42.2434332,-70.9436578
128,52.84748,-2.17342
129,42.2459331,-70.94671339999999
130,42.2667599,-71.79951560000001
131,41.03062,-77.56083
132,41.03062,-77.56083
133,42.481206,-71.1925553
134,42.481206,-71.1925553
135,41.2412081,-72.86010020000001
136,33.5630556,35.3688889
137,33.5630556,35.3688889
138,35.1298005,-96.6652946
139,32.35,68.68000000000001
140,37.8403271,-87.07277449999999
141,42.8186783,-76.072424
142,40.914415,14.788741
143,42.550584,-86.1311441
144,44.97421,-71.62591999999999
145,43.8456274,-71.4722969
146,39.0339315,-88.21087350000001
147,39.0339315,-88.21087350000001
148,40.8094444,-73.96194439999999
149,36.98715,-83.39371
150,46.766811866,-75.615996979
151,48.4666667,3.5666667
152,48.85339,2.34864
153,30.29623,-81.98168
154,38.5861665,-86.4016531
155,38.3242916,-76.5168989
156,56.6666667,-2.9166667
157,48.4,2.71667
158,41.6170428,-72.0845212
159,49.9088422763406,10.8673667907715
160,41.20367,-84.16755999999999
161,35.0816,-92.45927
162,43.7327,-79.224
163,55.95,-3.3725
164,55.95,-3.3725
165,57.65,-3.3333333
166,42.4514848,-71.0864414
167,42.4514848,-71.0864414
168,34.6120507,-82.765139
169,39.7528767,-77.1330392
170,54,-2
171,31.53333,35.1
172,42.7825237,-86.099763
173,43.5295158,-72.322591
174,51.64875,-0.0974
175,51.64875,-0.0974
176,51.64875,-0.0974
177,35.01259,-92.74044000000001
178,48.353783,11.786086
179,38.8873341,-77.05553279999999
180,38.8873341,-77.05553279999999
181,42.2434332,-70.9436578
182,41.67172,-83.59493999999999
183,44.1575733,-70.04060749999999
184,57.1333333,-2.1
185,57.1333333,-2.1
186,57.1333333,-2.1
187,57.1333333,-2.1
188,55.95,-3.3725
189,56.3333333,-3
190,18.08216,-63.04282
191,55.8666667,-4.25
192,42.7825237,-86.099763
193,39.2867738,-76.6010777
194,51.64875,-0.0974
195,51.64875,-0.0974
196,40.45857,-79.9221
197,49.012779,2.55
198,56.39153,-3.43951
199,56.39153,-3.43951
200,56.39153,-3.43951
201,56.39153,-3.43951
202,34.5707,-80.89785999999999
203,18,-76.75
204,55,-6.16667
205,51.3794444,-2.3655556
206,51.45,-2.6
207,42.88973,-71.27786
208,42.88973,-71.27786
209,53.42133,-6.27008
210,42.616762,-70.6661556
211,42.9223075,-71.5078455
212,51.5,-0.45
213,51.5,-0.45
214,51.5,-0.45
215,42.7764787,-71.1522811
216,42.7764787,-71.1522811
217,40.21122,-75.2749
218,40.21122,-75.2749
219,38.3242916,-76.5168989
220,38.3242916,-76.5168989
221,38.3242916,-76.5168989
222,39.2092787,-75.5649255
223,-30,26
224,49.28101,6.67981
225,31.75,35
226,34.2671,-85.1875
227,13.55,33.6166666666667
228,13.55,33.6166666666667
229,31.2666667,32.3
230,41.4778716,-74.12958949999999
231,41.3367606,-73.94791650000001
232,42.1570187,-77.05302349999999
233,38.7937266,-77.8577722
234,45.2535999,-86.9795592
235,42.1489631,-76.35243629999999
236,41.0062085,-73.59929169999999
237,41.0062085,-73.59929169999999
238,40.7525,-73.8166667
239,40.7525,-73.8166667
240,41.98174,-76.9658
241,49.06662207,-93.883644222
242,42.6286895,-73.9134588
243,41.80201,-77.87083
244,38.3242916,-76.5168989
245,38.3242916,-76.5168989
246,51.67109,-1.28278
247,51.67109,-1.28278
248,51.84598,-2.23795
249,40.0544615,-93.38687950000001
250,51.5,-0.45
251,51.5,-0.45
252,51.75315,-1.23854
253,44.833419084,-78.782884282
254,51.643,-1.16421
255,54,-4
256,40.9570432,-73.0303826
257,60.5286111,22.4433333
258,42.9875714,-74.7976486
259,38.9353888,-77.0874781
260,38.782058,-77.1463691
261,44.8841292,-93.97052549999999
262,43.8456274,-71.4722969
263,43.8456274,-71.4722969
264,43.5295282,-70.4253284
265,38.7795589,-77.4327658
266,4.35,-75.5166667
267,59.3254,18.03148
268,44.1334023,-70.82256599999999
269,51.67109,-1.28278
270,39.7792818,-74.9509985
271,41.429211,-81.9956979
272,41.429211,-81.9956979
273,41.429211,-81.9956979
274,51.45,-2.6
275,39.7834482,-74.9662768
276,48.5914884,-123.1262969
277,41.49088,-81.66540999999999
278,41.49088,-81.66540999999999
279,31.75,35
280,31.86667,35.21667
281,30.0866082,-96.5805278
282,42.3322147,-91.42043289999999
283,42.3322147,-91.42043289999999
284,41.42422,-81.4804
285,40.1822849,-82.9571265
286,43.7411873,-71.2386807
287,43.7411873,-71.2386807
288,49.5347923,-67.423876901
289,35.9620357,-83.4440556
290,34.895926,-83.46654959999999
291,18.31667,-77.40000000000001
292,42.1353365,-79.1711566
293,26.29902,-81.7974
294,44.942,-70.635346
295,44.0606281,-70.39366750000001
296,10.4166667,-74.45
297,36.0089518,-86.5199935
298,35.4556684,-82.5981795
299,26,32
300,45.43861,12.32667
301,9.550599999999999,122.5164
302,36.3536766,-85.15523779999999
303,42.7825237,-86.099763
304,38.6377,-90.2328
305,26.9236694,-80.09504219999999
306,30.1399303,-92.91209360000001
307,4.1666667,-73.5333333
308,48.68333,5.9
309,38.7689401,-90.4681741
310,41.8333333,13.75
311,37.8403271,-87.07277449999999
312,37.846157,-91.06346809999999
313,28.4475,-81.46939999999999
314,26.29902,-81.7974
315,38.7689401,-90.4681741
316,38.7689401,-90.4681741
317,38.7689401,-90.4681741
318,38.7689401,-90.4681741
319,38.7689401,-90.4681741
320,38.7689401,-90.4681741
321,43.4125,23.225
322,41.9044,12.4624
323,42.7311139,-100.372629
324,-25,25.75
325,36.3536766,-85.15523779999999
326,36.148411,-84.5052153
327,17.2333333,98.08333330000001
328,38.7689401,-90.4681741
329,34.74593,64.21176
330,38.91095,-76.92563
331,36.1811673,-86.8066658
332,4.3833333,-74.7833333
333,33.1418154,-82.635132
334,36.0300646,-85.3466385
335,49.012779,2.55
336,40.4350792,-77.5561012
337,35.9217324,-85.34830460000001
338,5.4,100.7
339,40.1822849,-82.9571265
340,54.71667,110.91667
341,16.5166667,38.2
342,38.9178892,-77.04969939999999
343,45.2535999,-86.9795592
344,45.2535999,-86.9795592
345,38.3045547,-80.7350951
346,38.3045547,-80.7350951
347,38.3045547,-80.7350951
348,37.3342196,-90.2009442
349,38.7689401,-90.4681741
350,38.7689401,-90.4681741
351,13.11667,38.18333
352,3.3386111,-75.715
353,31.183903,29.948889
354,4.7177778,-75.7155556
355,4.7177778,-75.7155556
356,39.4733834,-85.9227616
357,4.8933333,-73.4691667
358,30.12194,31.40556
359,30.12194,31.40556
360,30.12194,31.40556
361,9.9399,123.1081
362,58.28313868,-121.269578113
363,35.4911934,-89.78397099999999
364,46.4861,6.753
365,46.4861,6.753
366,13.6978,123.4892
367,-0.05,-78.8
368,37.73847,-97.22982
369,-39.708242638,176.050211926
370,42.0848126,-74.3154254
371,43.2256251,-75.48878740000001
372,43.2256251,-75.48878740000001
373,30.0202022,-84.9790797
374,41.1465836685555,-8.591828942298889
375,43.74556,-87.81417
376,43.74556,-87.81417
377,30.9166667,3.0666667
378,38.0049214,-121.805789
379,34.8028661,-86.9716741
380,34.8028661,-86.9716741
381,34.8028661,-86.9716741
382,41.00639,28.97583
383,32.8515178,-87.9027928
384,31.7787808,-95.7063466
385,34.350601,-85.15801399999999
386,34.350601,-85.15801399999999
387,40.2989951,-75.18100630000001
388,55.9497284685701,-3.19333076477051
389,42.5722397,-88.3673167
390,42.1489631,-76.35243629999999
391,38.9403888,-77.0527551
392,42.5961799,-77.2488671
393,42.5961799,-77.2488671
394,40.33912,-76.06703
395,51.55,0.21667
396,51.55,0.21667
397,51.55,0.21667
398,26.29902,-81.7974
399,40.9328638,-76.1610452
400,38.110833,13.313333
401,49.012779,2.55
402,43.2256251,-75.48878740000001
403,45.43861,12.32667
404,45.43861,12.32667
405,14.7333333,-61.1666667
406,46.3666667,0.5333333
407,18.08216,-63.04282
408,18.08216,-63.04282
409,34.93759,-92.58599
410,51.75315,-1.23854
411,48.8534,2.3486
412,48.8534,2.3486
413,48.8534,2.3486
414,37.2170001,-85.7302476
415,39.2458231,-106.268912
416,45.43861,12.32667
417,45.43333,10.78333
418,52.52437,13.41053
419,52.380001,13.5225
420,42.4514848,-71.0864414
421,45.2535999,-86.9795592
422,38.71667,-9.133330000000001
423,47.898,2.164
424,49.012779,2.55
425,45.35,4.88333
426,39.9875,-83.08833
427,34.0501602,-79.66645149999999
428,34.6120507,-82.765139
429,42.5961799,-77.2488671
430,42.5961799,-77.2488671
431,42.5961799,-77.2488671
432,48.86627,2.33723
433,49.012779,2.55
434,34.2173169,-85.17522839999999
435,34.2173169,-85.17522839999999
436,34.2173169,-85.17522839999999
437,40.2283914,-83.5221483
438,34.5434211,-84.6418772
439,34.5434211,-84.6418772
440,43.1139558,-76.3960453
441,34.1397292,-118.0353449
442,43.76667,11.25
