,Latitude,Longitude,count
1046,34.6120507,-82.765139,324
1404,38.3242916,-76.5168989,264
3194,49.012779,2.55,228
662,27.5197607,-82.5173183,164
3179,48.85341,2.3488,163
3756,55.95,-3.3725,151
2484,43.2256251,-75.48878740000001,140
2784,45.2535999,-86.9795592,136
1496,38.8873341,-77.05553279999999,135
1612,39.2867738,-76.6010777,125
654,26.9342246,-80.0942087,115
2374,42.7825237,-86.099763,111
1472,38.7937266,-77.8577722,110
2811,45.43861,12.32667,106
1208,36.2436749,-85.243301,100
3314,50.6391735835358,3.07591438293457,97
894,33.130599,-116.2994551,94
3698,54,-4,92
3532,52.1615076059046,-0.703125,91
3178,48.8534,2.3486,88
3477,51.64875,-0.0974,87
2566,43.76667,11.25,86
2919,46.4861,6.753,84
2068,41.4807934,-107.6697922,84
2183,41.9291973,-87.86200650000001,81
1180,36.0300646,-85.3466385,80
3754,55.9497284685701,-3.19333076477051,78
3821,6.165611,1.254511,74
3177,48.85339,2.34864,67
3187,48.8688,2.3539,63
1536,38.9290001,-77.0577552,63
2403,42.9388428,-109.4804179,60
1604,39.2528795,-77.6969362,60
1464,38.7689401,-90.4681741,59
2289,42.4514848,-71.0864414,58
2136,41.7480852,-88.8667525,58
2366,42.7578673,-71.2422828,57
1022,34.350601,-85.15801399999999,55
1509,38.8996,-77.25964999999999,55
3462,51.55,0.21667,55
1685,39.7528767,-77.1330392,54
3531,52.16045,-0.70312,54
3619,52.750182054,-75.132632105,52
2597,43.9724137,-111.2752267,48
3600,52.559686,13.287711,48
1807,40.1822849,-82.9571265,47
3465,51.56667,-0.33333,47
1196,36.148411,-84.5052153,47
3561,52.3122,4.75039,46
2172,41.88304,-88.32353000000001,46
2547,43.6221773,-94.0710699,44
2322,42.5961799,-77.2488671,44
14,-11.8,130.0166667,43
3439,51.5,-0.45,43
1527,38.9176114,-77.0474772,42
3399,51.33333,0.08333,42
889,32.9459648,-89.5167399,42
645,26.29902,-81.7974,42
3730,54.916995661,-78.732893127,41
3750,55.8666667,-4.25,39
1069,34.895926,-83.46654959999999,39
3435,51.5,-0.16667,39
3795,57.1333333,-2.1,39
860,32.4544444,-115.9969444,39
3760,56,-4,38
3906,9.550599999999999,122.5164,38
1219,36.3536766,-85.15523779999999,38
3472,51.6,-0.25,37
466,18,-76.75,37
2906,46.3666667,0.5333333,35
1172,35.9620357,-83.4440556,35
2959,46.780676645,-73.81277740100001,35
2546,43.61912,-116.39658,35
1098,35.1673393,-82.0267752,34
1012,34.2331373,-102.4107493,34
2362,42.7378672,-71.3545075,33
1009,34.2173169,-85.17522839999999,33
2029,41.3142182,-82.60156550000001,32
2336,42.6464602,-76.5052173,32
3418,51.436667,5.979167,32
3212,49.28217,6.6795,32
2300,42.5153725,-71.1144984,31
1642,39.5051055,-76.7441417,31
2870,46,2,31
985,34.0501602,-79.66645149999999,30
3036,47.42698,19.04016,30
967,33.88623,-83.37683,30
2073,41.49088,-81.66540999999999,30
2008,41.1465836685555,-8.591828942298889,29
2405,42.9473823,-116.730402,29
1512,38.9042783,-77.034699,29
1915,40.7209356,-73.9959726,29
754,30.12194,31.40556,29
3238,49.54977212,-119.019058232,29
2147,41.796698,-87.8861701,28
655,26.9489465,-80.07476370000001,28
1348,37.8403271,-87.07277449999999,28
2787,45.2722095,-86.9870598,28
1142,35.632905,-81.76926520000001,28
2994,47.1055153,-95.8778212,27
3096,48.06687193,-77.249427377,27
2326,42.6153453,-77.4024853,27
2371,42.7764787,-71.1522811,27
2404,42.9402318,-109.4570839,27
3398,51.33333,-2.5,27
1041,34.5434211,-84.6418772,26
1350,37.8494872,-91.5548738,26
2790,45.2833333,6.0666667,26
1446,38.6653967,-76.58440280000001,26
634,26,14,26
1017,34.2671,-85.1875,25
3585,52.45386,-1.74803,25
3098,48.084866236,-77.161602225,25
3486,51.75315,-1.23854,25
2316,42.5792584,-71.4200629,25
901,33.2203184,-116.2108405,25
1699,39.7835987,-105.5991669,24
1374,38.1040882,-120.7974351,24
3236,49.5347923,-67.423876901,24
749,30.06263,31.24967,24
1125,35.4556684,-82.5981795,24
1484,38.85259,-77.25716,23
1618,39.3384344,-79.496162,23
1065,34.83349,-79.49977,23
1519,38.9117782,-77.0499772,23
3078,47.898,2.164,23
469,18.08216,-63.04282,23
2163,41.8500284,-88.3125738,23
987,34.0639989,-90.65148790000001,23
795,31.183903,29.948889,23
3796,57.1666667,-2.1666667,23
3876,7.7538889,-63.2633333,22
1336,37.691166,-86.61776159999999,22
70,-21.4166667,39.7,22
3746,55.67594,12.56553,22
3122,48.3800203,-102.7721265,22
2325,42.6134015,-77.3122034,22
2238,42.2434332,-70.9436578,22
3274,5.42634,-74.82319,22
1504,38.89511,-77.03637000000001,22
2228,42.1489631,-76.35243629999999,21
550,20,77,21
157,-32.9271483615446,151.776466369629,21
3769,56.1166667,-3.95,21
920,33.4485003,-79.54089639999999,21
2246,42.275556,-82.955556,21
3538,52.2,0.11667,20
1689,39.76,-98.5,20
2861,45.900084971,-80.899726368,20
2992,47.09968,-95.84379,20
3273,5.40283,-74.86718,20
2401,42.9223075,-71.5078455,20
1076,34.93759,-92.58599,20
1854,40.4350792,-77.5561012,20
3879,7.9766667,-63.3966667,20
2290,42.454805,-73.48983389999999,20
1538,38.9337225,-76.84913830000001,20
2936,46.5833333,6.5,20
1541,38.9403888,-77.0527551,20
1066,34.84232,-90.63288,19
623,25.0333333,-101.2666667,19
97,-24.75,31.3,19
2416,42.9702328,-109.4537508,19
