,Latitude,Longitude,count
1259,-3.4869444,-43.2258333,6071
20520,47.43047,19.07098,4011
20596,47.5183,19.10789,3317
7295,34.6120507,-82.765139,2839
26499,54,-4,2231
16748,43.2256251,-75.48878740000001,2226
15682,42.4812059,-71.2089445,1847
8325,36.2436749,-85.243301,1817
9803,38.3242916,-76.5168989,1760
21656,49.012779,2.55,1745
8191,36.0300646,-85.3466385,1561
15636,42.4514848,-71.0864414,1546
16115,42.7825237,-86.099763,1395
10315,38.7937266,-77.8577722,1306
22777,50.6391735835358,3.07591438293457,1169
10450,38.8873341,-77.05553279999999,1082
11111,39.3081025,-86.4833294,1073
16084,42.7578673,-71.2422828,1072
10294,38.7795589,-77.4327658,1059
27339,55.95,-3.3725,1044
11085,39.2867738,-76.6010777,1016
24190,51.64875,-0.0974,1002
28806,9.550599999999999,122.5164,991
24818,52.16045,-0.70312,984
18727,45.2535999,-86.9795592,966
24820,52.1615076059046,-0.703125,960
7183,34.350601,-85.15801399999999,906
21497,48.8534,2.3486,874
23836,51.5,-0.45,803
10529,38.9117782,-77.0499772,765
20534,47.45293,19.14943,757
15729,42.5153725,-71.1144984,754
8268,36.148411,-84.5052153,730
21498,48.85341,2.3488,729
24119,51.6,-0.25,691
27286,55.8666667,-4.25,681
20528,47.43674,19.10093,625
18913,45.43861,12.32667,613
15266,42.2434332,-70.9436578,612
16107,42.7764787,-71.1522811,588
8116,35.9217324,-85.34830460000001,573
24046,51.55,0.21667,565
6226,32.4544444,-115.9969444,557
10153,38.6653967,-76.58440280000001,556
7106,34.2173169,-85.17522839999999,544
12376,40.1822849,-82.9571265,538
14865,41.9291973,-87.86200650000001,527
27389,56,-4,526
9477,37.97945,23.71622,515
4959,27.5197607,-82.5173183,504
8386,36.3536766,-85.15523779999999,492
24075,51.56667,-0.33333,480
13163,40.7209356,-73.9959726,478
19856,46.4861,6.753,476
21449,48.8344,2.324,448
21437,48.8303,2.3234,445
26588,54.16871667,17.49182222,440
11037,39.2528795,-77.6969362,432
27336,55.9497284685701,-3.19333076477051,424
23524,51.33333,0.08333,418
23523,51.33333,-2.5,414
11608,39.7528767,-77.1330392,411
4912,26.9342246,-80.0942087,411
12451,40.2283914,-83.5221483,408
4843,26.29902,-81.7974,402
21496,48.85339,2.34864,402
10608,38.9403888,-77.0527551,387
16063,42.7378672,-71.3545075,383
20504,47.4145445,-122.230399,376
15850,42.5961799,-77.2488671,375
22668,50.5,-4,374
16310,42.9388428,-109.4804179,374
25948,53.28595,-6.37739,370
6737,33.6651093,-84.11824970000001,367
6026,31.86667,35.21667,364
7796,35.4556684,-82.5981795,362
17324,43.76667,11.25,351
3628,18,-76.75,349
6501,33.130599,-116.2994551,348
14202,41.4807934,-107.6697922,348
3831,18.3833333,-77.3666667,347
9357,37.8494872,-91.5548738,346
18507,45.0180929835126,-74.72814559936521,344
20587,47.51482,19.17028,344
12496,40.26816,-75.02378,341
21548,48.8688,2.3539,335
11052,39.262608,-76.4330157,335
10283,38.7689401,-90.4681741,332
12718,40.44562,-79.95589,329
18743,45.2722095,-86.9870598,326
16284,42.9223075,-71.5078455,322
14589,41.7480852,-88.8667525,316
20616,47.56263,19.11681,314
17166,43.61912,-116.39658,314
10584,38.9290001,-77.0577552,312
5978,31.75,35,310
11171,39.350073,-82.04986510000001,310
21458,48.8435,2.2946,305
28578,7.9766667,-63.3966667,303
22298,5.58333,-75.91667,303
5827,31.183903,29.948889,302
26484,53.9639632888809,-1.09142303466797,298
14901,41.9600988,-71.4578372,297
21453,48.8384,2.2905,297
8147,35.9620357,-83.4440556,294
12279,40.1034,-75.3553,294
8114,35.9211768,-85.3444155,293
23832,51.5,-0.16667,291
16747,43.2256247,-75.0612709,287
8377,36.3398184,-83.0029404,287
9428,37.93636,23.94447,281
13577,40.9606192,-79.8306077,278
21438,48.83171,2.28149,276
19471,46,2,275
11681,39.7989922,-76.29106899999999,275
16791,43.2586801,-75.08210529999999,275
9219,37.691166,-86.61776159999999,274
24997,52.3122,4.75039,273
4681,25.0333333,-101.2666667,271
4807,26,32,269
22096,49.7950620494886,19.4458866119385,269
4025,19.33333,-99.5,263
21967,49.5347923,-67.423876901,263
14773,41.88304,-88.32353000000001,262
4913,26.9489465,-80.07476370000001,255
13796,41.1465836685555,-8.591828942298889,255
19753,46.350142216,-60.981795958,253
7462,34.895926,-83.46654959999999,252
10213,38.71667,-9.133330000000001,251
9835,38.3524264644614,23.1399536132812,250
3042,13.1310983310125,80.1192569732666,247
6577,33.3412337,-90.2773066,246
12306,40.1253701,-76.999977,240
23469,51.27904,1.07992,237
7631,35.1673393,-82.0267752,237
7903,35.632905,-81.76926520000001,234
12126,40,-4,232
22272,5.42634,-74.82319,232
5560,30.12194,31.40556,232
3018,12.994414,80.18051699999999,231
4331,21.42667,39.82611,230
25267,52.559686,13.287711,230
23679,51.436667,5.979167,228
10062,38.5861665,-86.4016531,227
18427,44.93459,-119.56528,226
23003,50.8333333,4,225
917,-24.1666667,29.25,225
9351,37.8403271,-87.07277449999999,222
15156,42.1489631,-76.35243629999999,220
21947,49.516350467,-123.969443583,219
11657,39.7835987,-105.5991669,218
13254,40.7525,-73.8166667,217
27564,56.39153,-3.43951,216
27730,57.1333333,-2.1,216
18752,45.2833333,6.0666667,213
23696,51.45,-2.6,213
15556,42.3889502,-78.9258689,213
13981,41.3142182,-82.60156550000001,209
10354,38.822613,-77.1041453,208
10889,39.1409012,-82.98934439999999,206
16311,42.9402318,-109.4570839,205
14218,41.49088,-81.66540999999999,205
12540,40.2987174,-75.17322830000001,205
4203,20,77,204
25999,53.33333,-2.85,204
15872,42.6134015,-77.3122034,203
24335,51.75315,-1.23854,203
16382,42.9875714,-74.7976486,202
17679,44.1445136,-70.78062060000001,199
10496,38.8996,-77.25964999999999,199
4042,19.436303,-99.072097,198
16321,42.9473823,-116.730402,196
26498,54,-2,193
24874,52.2,0.11667,193
12445,40.2227,-75.10129999999999,192
11323,39.4733834,-85.9227616,192
27200,55.67594,12.56553,191
10739,39.0283996,-83.86353920000001,191
10564,38.9195557,-77.06386639999999,190
15640,42.454805,-73.48983389999999,189
8595,36.7525,3.04197,189
5024,27.910167,-82.687389,189
10694,38.9970528,-78.0513864,188
3090,13.55,-88.81667,187
7488,34.9451141,-82.78041469999999,186
13632,41.0138429552247,28.9496612548828,186
9436,37.9470691,-76.0393808,186
22266,5.40283,-74.86718,182
26114,53.42133,-6.27008,182
11646,39.7747813,-84.0799363,181
10553,38.9170558,-77.0471993,180
3594,17.9,-77.4333333,180
